fare,parch,age,sibsp,C,Q,S,female,male,class_1,class_2,class_3
211.3375,0,29.0,0,0,0,1,1,0,1,0,0
151.55,2,0.9167,1,0,0,1,0,1,1,0,0
151.55,2,2.0,1,0,0,1,1,0,1,0,0
151.55,2,30.0,1,0,0,1,0,1,1,0,0
151.55,2,25.0,1,0,0,1,1,0,1,0,0
26.55,0,48.0,0,0,0,1,0,1,1,0,0
77.9583,0,63.0,1,0,0,1,1,0,1,0,0
0.0,0,39.0,0,0,0,1,0,1,1,0,0
51.4792,0,53.0,2,0,0,1,1,0,1,0,0
49.5042,0,71.0,0,1,0,0,0,1,1,0,0
227.525,0,47.0,1,1,0,0,0,1,1,0,0
227.525,0,18.0,1,1,0,0,1,0,1,0,0
69.3,0,24.0,0,1,0,0,1,0,1,0,0
78.85,0,26.0,0,0,0,1,1,0,1,0,0
30.0,0,80.0,0,0,0,1,0,1,1,0,0
25.925,0,29.8811345124283,0,0,0,1,0,1,1,0,0
247.5208,1,24.0,0,1,0,0,0,1,1,0,0
247.5208,1,50.0,0,1,0,0,1,0,1,0,0
76.2917,0,32.0,0,1,0,0,1,0,1,0,0
75.2417,0,36.0,0,1,0,0,0,1,1,0,0
52.5542,1,37.0,1,0,0,1,0,1,1,0,0
52.5542,1,47.0,1,0,0,1,1,0,1,0,0
30.0,0,26.0,0,1,0,0,0,1,1,0,0
227.525,0,42.0,0,1,0,0,1,0,1,0,0
221.7792,0,29.0,0,0,0,1,1,0,1,0,0
26.0,0,25.0,0,1,0,0,0,1,1,0,0
91.0792,0,25.0,1,1,0,0,0,1,1,0,0
91.0792,0,19.0,1,1,0,0,1,0,1,0,0
135.6333,0,35.0,0,0,0,1,1,0,1,0,0
26.55,0,28.0,0,0,0,1,0,1,1,0,0
35.5,0,45.0,0,0,0,1,0,1,1,0,0
31.0,0,40.0,0,1,0,0,0,1,1,0,0
164.8667,0,30.0,0,0,0,1,1,0,1,0,0
26.55,0,58.0,0,0,0,1,1,0,1,0,0
26.55,0,42.0,0,0,0,1,0,1,1,0,0
262.375,0,45.0,0,1,0,0,1,0,1,0,0
55.0,1,22.0,0,0,0,1,1,0,1,0,0
26.55,0,29.8811345124283,0,0,0,1,0,1,1,0,0
30.5,0,41.0,0,0,0,1,0,1,1,0,0
50.4958,0,48.0,0,1,0,0,0,1,1,0,0
39.6,0,29.8811345124283,0,1,0,0,0,1,1,0,0
27.7208,0,44.0,0,1,0,0,1,0,1,0,0
51.4792,0,59.0,2,0,0,1,1,0,1,0,0
76.2917,0,60.0,0,1,0,0,1,0,1,0,0
134.5,0,41.0,0,1,0,0,1,0,1,0,0
26.55,0,45.0,0,0,0,1,0,1,1,0,0
31.0,0,29.8811345124283,0,0,0,1,0,1,1,0,0
26.2875,0,42.0,0,0,0,1,0,1,1,0,0
27.4458,0,53.0,0,1,0,0,1,0,1,0,0
512.3292,1,36.0,0,1,0,0,0,1,1,0,0
512.3292,1,58.0,0,1,0,0,1,0,1,0,0
5.0,0,33.0,0,0,0,1,0,1,1,0,0
47.1,0,28.0,0,0,0,1,0,1,1,0,0
47.1,0,17.0,0,0,0,1,0,1,1,0,0
120.0,2,11.0,1,0,0,1,0,1,1,0,0
120.0,2,14.0,1,0,0,1,1,0,1,0,0
120.0,2,36.0,1,0,0,1,0,1,1,0,0
120.0,2,36.0,1,0,0,1,1,0,1,0,0
26.0,0,49.0,0,0,0,1,0,1,1,0,0
27.7208,0,29.8811345124283,0,1,0,0,1,0,1,0,0
78.85,0,36.0,1,0,0,1,0,1,1,0,0
78.85,0,76.0,1,0,0,1,1,0,1,0,0
61.175,0,46.0,1,0,0,1,0,1,1,0,0
61.175,0,47.0,1,0,0,1,1,0,1,0,0
53.1,0,27.0,1,0,0,1,0,1,1,0,0
53.1,0,33.0,1,0,0,1,1,0,1,0,0
262.375,0,36.0,0,1,0,0,1,0,1,0,0
86.5,0,30.0,0,0,0,1,1,0,1,0,0
29.7,0,45.0,0,1,0,0,0,1,1,0,0
55.0,1,29.8811345124283,0,0,0,1,1,0,1,0,0
0.0,0,29.8811345124283,0,0,0,1,0,1,1,0,0
136.7792,0,27.0,1,1,0,0,0,1,1,0,0
136.7792,0,26.0,1,1,0,0,1,0,1,0,0
151.55,0,22.0,0,0,0,1,1,0,1,0,0
52.0,0,29.8811345124283,0,0,0,1,0,1,1,0,0
25.5875,0,47.0,0,0,0,1,0,1,1,0,0
83.1583,1,39.0,1,1,0,0,1,0,1,0,0
83.1583,1,37.0,1,1,0,0,0,1,1,0,0
83.1583,2,64.0,0,1,0,0,1,0,1,0,0
25.7,0,55.0,2,0,0,1,1,0,1,0,0
26.55,0,29.8811345124283,0,0,0,1,0,1,1,0,0
71.0,1,70.0,1,0,0,1,0,1,1,0,0
71.0,2,36.0,0,0,0,1,1,0,1,0,0
26.55,1,64.0,1,0,0,1,1,0,1,0,0
71.2833,0,39.0,1,1,0,0,0,1,1,0,0
71.2833,0,38.0,1,1,0,0,1,0,1,0,0
26.55,0,51.0,0,0,0,1,0,1,1,0,0
30.5,0,27.0,0,0,0,1,0,1,1,0,0
151.55,0,33.0,0,0,0,1,1,0,1,0,0
52.0,0,31.0,1,0,0,1,0,1,1,0,0
52.0,2,27.0,1,0,0,1,1,0,1,0,0
57.0,0,31.0,1,0,0,1,0,1,1,0,0
57.0,0,17.0,1,0,0,1,1,0,1,0,0
81.8583,1,53.0,1,0,0,1,0,1,1,0,0
81.8583,2,4.0,0,0,0,1,0,1,1,0,0
81.8583,1,54.0,1,0,0,1,1,0,1,0,0
106.425,0,50.0,1,1,0,0,0,1,1,0,0
247.5208,1,27.0,1,1,0,0,1,0,1,0,0
106.425,0,48.0,1,1,0,0,1,0,1,0,0
39.6,0,48.0,1,1,0,0,1,0,1,0,0
56.9292,0,49.0,1,1,0,0,0,1,1,0,0
29.7,0,39.0,0,1,0,0,0,1,1,0,0
83.1583,1,23.0,0,1,0,0,1,0,1,0,0
227.525,0,38.0,0,1,0,0,1,0,1,0,0
78.2667,0,54.0,1,1,0,0,1,0,1,0,0
31.6792,0,36.0,0,1,0,0,1,0,1,0,0
221.7792,0,29.8811345124283,0,0,0,1,0,1,1,0,0
31.6833,0,29.8811345124283,0,0,0,1,1,0,1,0,0
110.8833,0,29.8811345124283,0,1,0,0,1,0,1,0,0
26.3875,0,36.0,0,0,0,1,0,1,1,0,0
27.75,0,30.0,0,1,0,0,0,1,1,0,0
263.0,2,24.0,3,0,0,1,1,0,1,0,0
263.0,2,28.0,3,0,0,1,1,0,1,0,0
263.0,2,23.0,3,0,0,1,1,0,1,0,0
263.0,2,19.0,3,0,0,1,0,1,1,0,0
263.0,4,64.0,1,0,0,1,0,1,1,0,0
263.0,4,60.0,1,0,0,1,1,0,1,0,0
56.9292,0,30.0,0,1,0,0,1,0,1,0,0
26.55,0,29.8811345124283,0,0,0,1,0,1,1,0,0
133.65,0,50.0,2,0,0,1,0,1,1,0,0
27.7208,0,43.0,1,1,0,0,0,1,1,0,0
133.65,0,29.8811345124283,1,0,0,1,1,0,1,0,0
49.5,2,22.0,0,1,0,0,1,0,1,0,0
79.2,1,60.0,1,1,0,0,0,1,1,0,0
79.2,1,48.0,1,1,0,0,1,0,1,0,0
0.0,0,29.8811345124283,0,0,0,1,0,1,1,0,0
53.1,0,37.0,1,0,0,1,0,1,1,0,0
53.1,0,35.0,1,0,0,1,1,0,1,0,0
38.5,0,47.0,0,0,0,1,0,1,1,0,0
211.5,0,35.0,0,1,0,0,1,0,1,0,0
59.4,1,22.0,0,1,0,0,1,0,1,0,0
59.4,1,45.0,0,1,0,0,1,0,1,0,0
79.2,0,24.0,0,1,0,0,0,1,1,0,0
89.1042,0,49.0,1,1,0,0,0,1,1,0,0
89.1042,0,29.8811345124283,1,1,0,0,1,0,1,0,0
34.6542,0,71.0,0,1,0,0,0,1,1,0,0
28.5,0,53.0,0,1,0,0,0,1,1,0,0
30.0,0,19.0,0,0,0,1,1,0,1,0,0
153.4625,1,38.0,0,0,0,1,0,1,1,0,0
153.4625,1,58.0,0,0,0,1,1,0,1,0,0
63.3583,1,23.0,0,1,0,0,0,1,1,0,0
63.3583,1,45.0,0,1,0,0,1,0,1,0,0
79.2,0,46.0,0,1,0,0,0,1,1,0,0
55.4417,0,25.0,1,1,0,0,0,1,1,0,0
55.4417,0,25.0,1,1,0,0,1,0,1,0,0
76.7292,0,48.0,1,1,0,0,0,1,1,0,0
76.7292,0,49.0,1,1,0,0,1,0,1,0,0
42.4,0,29.8811345124283,0,0,0,1,0,1,1,0,0
83.475,0,45.0,1,0,0,1,0,1,1,0,0
83.475,0,35.0,1,0,0,1,1,0,1,0,0
0.0,0,40.0,0,0,0,1,0,1,1,0,0
76.7292,0,27.0,0,1,0,0,0,1,1,0,0
30.0,0,29.8811345124283,0,0,0,1,0,1,1,0,0
83.1583,0,24.0,0,1,0,0,1,0,1,0,0
93.5,1,55.0,1,0,0,1,0,1,1,0,0
93.5,1,52.0,1,0,0,1,1,0,1,0,0
42.5,0,42.0,0,0,0,1,0,1,1,0,0
51.8625,0,29.8811345124283,0,0,0,1,0,1,1,0,0
50.0,0,55.0,0,0,0,1,0,1,1,0,0
57.9792,1,16.0,0,1,0,0,1,0,1,0,0
57.9792,1,44.0,0,1,0,0,1,0,1,0,0
77.9583,0,51.0,1,0,0,1,1,0,1,0,0
52.0,0,42.0,1,0,0,1,0,1,1,0,0
52.0,0,35.0,1,0,0,1,1,0,1,0,0
26.55,0,35.0,0,1,0,0,0,1,1,0,0
90.0,0,38.0,1,0,0,1,0,1,1,0,0
30.6958,0,29.8811345124283,0,1,0,0,0,1,1,0,0
90.0,0,35.0,1,0,0,1,1,0,1,0,0
80.0,0,38.0,0,0,0,0,1,0,1,0,0
28.7125,0,50.0,0,1,0,0,1,0,1,0,0
0.0,0,49.0,0,0,0,1,0,1,1,0,0
26.0,0,46.0,0,0,0,1,0,1,1,0,0
26.0,0,50.0,0,0,0,1,0,1,1,0,0
211.5,0,32.5,0,1,0,0,0,1,1,0,0
29.7,0,58.0,0,1,0,0,0,1,1,0,0
51.8625,0,41.0,1,0,0,1,0,1,1,0,0
51.8625,0,29.8811345124283,1,0,0,1,1,0,1,0,0
52.5542,0,42.0,1,0,0,1,0,1,1,0,0
52.5542,0,45.0,1,0,0,1,1,0,1,0,0
26.55,0,29.8811345124283,0,0,0,1,0,1,1,0,0
211.3375,0,39.0,0,0,0,1,1,0,1,0,0
25.9292,0,49.0,0,0,0,1,1,0,1,0,0
106.425,0,30.0,0,1,0,0,1,0,1,0,0
512.3292,0,35.0,0,1,0,0,0,1,1,0,0
27.7208,0,29.8811345124283,0,1,0,0,0,1,1,0,0
26.55,0,42.0,0,0,0,1,0,1,1,0,0
27.7208,0,55.0,0,1,0,0,1,0,1,0,0
39.4,1,16.0,0,0,0,1,1,0,1,0,0
39.4,1,51.0,0,0,0,1,1,0,1,0,0
30.0,0,29.0,0,0,0,1,0,1,1,0,0
77.9583,0,21.0,0,0,0,1,1,0,1,0,0
45.5,0,30.0,0,0,0,1,0,1,1,0,0
146.5208,0,58.0,0,1,0,0,1,0,1,0,0
211.3375,1,15.0,0,0,0,1,1,0,1,0,0
26.0,0,30.0,0,0,0,1,0,1,1,0,0
86.5,0,16.0,0,0,0,1,1,0,1,0,0
