fare,parch,age,sibsp,C,Q,S,female,male,class_1,class_2,class_3
18.0,0,31.0,3,0,0,1,0,1,0,0,1
7.225,0,22.0,0,1,0,0,0,1,0,0,1
31.0,0,29.8811345124283,0,0,0,1,0,1,1,0,0
7.75,2,29.8811345124283,0,0,1,0,1,0,0,0,1
82.2667,0,24.0,1,0,0,1,0,1,1,0,0
16.1,0,30.0,1,0,0,1,0,1,0,0,1
13.4167,1,39.0,0,1,0,0,0,1,0,0,1
7.925,0,32.0,0,0,0,1,0,1,0,0,1
7.8542,0,20.0,0,0,0,1,0,1,0,0,1
55.0,1,29.8811345124283,0,0,0,1,1,0,1,0,0
7.8958,0,32.0,0,0,0,1,0,1,0,0,1
8.05,0,32.0,0,0,0,1,0,1,0,0,1
30.0,0,26.0,0,1,0,0,0,1,1,0,0
77.2875,1,54.0,0,0,0,1,0,1,1,0,0
39.6875,1,16.0,4,0,0,1,0,1,0,0,1
26.0,0,29.0,1,0,0,1,0,1,0,1,0
146.5208,0,57.0,1,1,0,0,0,1,1,0,0
46.9,6,40.0,1,0,0,1,0,1,0,0,1
512.3292,1,58.0,0,1,0,0,1,0,1,0,0
19.9667,0,29.8811345124283,1,0,0,1,0,1,0,0,1
106.425,0,48.0,1,1,0,0,1,0,1,0,0
0.0,0,36.0,0,0,0,1,0,1,0,0,1
15.5,1,32.0,1,0,1,0,1,0,0,0,1
8.05,0,32.0,0,0,0,1,0,1,0,0,1
31.275,2,2.0,4,0,0,1,1,0,0,0,1
26.55,0,28.0,0,0,0,1,0,1,1,0,0
32.5,1,34.0,1,0,0,1,1,0,0,1,0
12.475,0,30.0,0,0,0,1,1,0,0,0,1
8.05,0,29.8811345124283,0,0,0,1,0,1,0,0,1
9.225,0,20.0,0,0,0,1,0,1,0,0,1
18.0,0,16.0,2,0,0,1,0,1,0,0,1
51.8625,0,29.8811345124283,0,0,0,1,0,1,1,0,0
21.075,1,8.0,3,0,0,1,1,0,0,0,1
7.225,0,45.5,0,1,0,0,0,1,0,0,1
15.05,0,29.8811345124283,0,1,0,0,0,1,0,1,0
7.65,0,42.0,0,0,0,1,0,1,0,0,1
52.5542,0,42.0,1,0,0,1,0,1,1,0,0
21.075,1,6.0,3,0,0,1,0,1,0,0,1
7.8958,0,29.8811345124283,0,0,0,1,0,1,0,0,1
8.5167,1,0.4167,0,1,0,0,0,1,0,0,1
28.5,0,53.0,0,1,0,0,0,1,1,0,0
20.525,2,9.0,0,0,0,1,0,1,0,0,1
12.65,0,28.0,0,0,0,1,1,0,0,1,0
9.5,0,30.0,0,0,0,1,0,1,0,0,1
35.5,0,29.8811345124283,0,0,0,1,0,1,1,0,0
32.5,2,8.0,0,0,0,1,0,1,0,1,0
13.0,0,30.0,0,0,0,1,0,1,0,1,0
14.1083,0,45.0,1,0,0,1,1,0,0,0,1
16.1,0,29.8811345124283,1,0,0,1,1,0,0,0,1
20.525,1,31.0,1,0,0,1,1,0,0,0,1
52.0,0,29.8811345124283,1,0,0,1,1,0,1,0,0
7.2292,0,28.5,0,1,0,0,0,1,0,0,1
14.4542,1,45.0,0,1,0,0,1,0,0,0,1
29.125,1,7.0,4,0,1,0,0,1,0,0,1
80.0,0,38.0,0,0,0,0,1,0,1,0,0
12.525,0,51.0,0,0,0,1,0,1,0,1,0
14.5,1,29.8811345124283,1,0,0,1,0,1,0,0,1
26.0,1,3.0,1,0,0,1,0,1,0,1,0
13.0,0,36.0,0,0,0,1,1,0,0,1,0
13.0,0,40.0,0,0,0,1,0,1,0,1,0
8.05,0,29.8811345124283,0,0,0,1,1,0,0,0,1
221.7792,0,63.0,1,0,0,1,1,0,1,0,0
36.75,0,20.0,0,0,0,1,1,0,0,1,0
7.25,0,29.8811345124283,0,0,0,1,0,1,0,0,1
76.7292,0,27.0,0,1,0,0,0,1,1,0,0
263.0,4,60.0,1,0,0,1,1,0,1,0,0
15.5,1,40.0,1,0,1,0,0,1,0,0,1
7.7958,0,27.0,0,0,0,1,0,1,0,0,1
7.75,0,29.8811345124283,0,0,1,0,0,1,0,0,1
13.0,0,40.0,0,0,0,1,1,0,0,1,0
15.75,0,12.0,0,0,0,1,1,0,0,1,0
16.1,0,29.8811345124283,1,0,0,1,1,0,0,0,1
7.75,0,29.8811345124283,0,0,1,0,0,1,0,0,1
36.75,2,48.0,0,0,0,1,1,0,0,1,0
21.6792,0,29.8811345124283,2,1,0,0,0,1,0,0,1
7.925,0,29.0,0,0,0,1,0,1,0,0,1
79.2,0,29.8811345124283,0,1,0,0,1,0,1,0,0
8.05,0,22.0,0,0,0,1,0,1,0,0,1
90.0,0,38.0,1,0,0,1,0,1,1,0,0
19.2583,1,5.0,2,1,0,0,1,0,0,0,1
14.4583,0,29.8811345124283,1,1,0,0,0,1,0,0,1
50.4958,0,31.0,0,0,0,1,0,1,1,0,0
26.0,0,44.0,1,0,0,1,0,1,0,1,0
35.5,0,45.0,0,0,0,1,0,1,1,0,0
113.275,0,23.0,1,1,0,0,1,0,1,0,0
10.5,0,29.0,0,0,0,1,0,1,0,1,0
52.5542,1,47.0,1,0,0,1,1,0,1,0,0
7.225,0,22.5,0,1,0,0,0,1,0,0,1
15.5,0,29.8811345124283,1,0,1,0,1,0,0,0,1
26.2833,2,19.0,0,0,0,1,1,0,1,0,0
